game_pk,fecha,home_team_name,away_team_name,home_pitcher_name,away_pitcher_name,era_pitcher_home,whip_pitcher_home,ops_team_home,era_pitcher_away,whip_pitcher_away,ops_team_away,win_pct_home,win_pct_away,run_diff_home,run_diff_away,forma_home,forma_away,rest_days_home,rest_days_away,era_diff,ops_diff,win_pct_diff,run_diff_net,game_num_series,prev_game_winner_home,bullpen_load_diff,target
824664,2026-06-21,Chicago Cubs,Toronto Blue Jays,David Peterson,Dylan Cease,5.080992258972555,1.481442646023927,0.928,2.757320574162679,1.1030622009569377,0.714,0.578,0.484,100.0,-53.0,0.4,0.3,4,4,-2.3236716848098755,0.21400000000000008,0.09399999999999997,153.0,1,0,-1.0,1
823531,2026-06-21,New York Yankees,Cincinnati Reds,Elmer Rodríguez,Chase Burns,4.466382978723405,1.4663829787234044,0.77,2.833493975903614,1.1443373493975904,0.808,0.563,0.48,89.0,-88.0,0.5,0.6,4,4,-1.6328890028197907,-0.038000000000000034,0.08299999999999996,177.0,1,0,0.0,0
824908,2026-06-21,Atlanta Braves,Milwaukee Brewers,Bryce Elder,Robert Gasser,3.9881818181818183,1.24255980861244,0.804,4.470164888457808,1.2574587778855482,0.81,0.583,0.614,110.0,156.0,0.6,0.4,4,4,0.48198307027598997,-0.006000000000000005,-0.031000000000000028,-46.0,1,0,-2.0,0
822968,2026-06-21,Tampa Bay Rays,Washington Nationals,Nick Martinez,Andrew Alvarez,3.2690420560747664,1.1680373831775699,0.702,3.8857142857142857,1.3214285714285714,0.884,0.603,0.477,49.0,19.0,0.2,0.3,4,4,0.6166722296395193,-0.18200000000000005,0.126,30.0,1,0,-1.0,1
824260,2026-06-21,Detroit Tigers,Chicago White Sox,Keider Montero,Davis Martin,3.4838235294117648,1.0551470588235294,0.808,4.316129032258065,1.3241935483870968,0.757,0.48,0.524,82.0,47.0,0.4,0.6,4,4,0.8323055028463,0.051000000000000045,-0.04400000000000004,35.0,1,0,0.0,1
823852,2026-06-21,Miami Marlins,San Francisco Giants,Ryan Gusto,Logan Webb,4.555769230769231,1.3127884615384615,0.793,3.6420118343195265,1.102603550295858,0.8,0.5,0.413,14.0,-73.0,0.7,0.6,4,4,-0.9137573964497046,-0.007000000000000006,0.08700000000000002,87.0,1,0,-2.0,1
824177,2026-06-21,Houston Astros,Cleveland Guardians,Kai-Wei Teng,Slade Cecconi,4.334709480122324,1.3347094801223243,1.04,4.905,1.457142857142857,0.8,0.504,0.48,-31.0,-26.0,0.4,0.4,4,4,0.570290519877676,0.24,0.02400000000000002,-5.0,1,0,-2.0,1
823449,2026-06-21,Philadelphia Phillies,New York Mets,Zack Wheeler,David Peterson,3.1958161225849433,1.0679613590939374,0.755,5.080992258972555,1.481442646023927,0.752,0.547,0.453,15.0,-42.0,0.6,0.3,4,4,1.8851761363876114,0.0030000000000000027,0.09400000000000003,57.0,1,0,0.0,1
822883,2026-06-21,Texas Rangers,San Diego Padres,Nathan Eovaldi,Wandy Peralta,4.226646115906288,1.2266461159062885,0.802,3.747391304347826,1.367391304347826,0.788,0.488,0.531,-48.0,3.0,0.6,0.3,4,4,-0.47925481155846184,0.014000000000000012,-0.04300000000000004,-51.0,1,0,2.0,1
824343,2026-06-21,Colorado Rockies,Pittsburgh Pirates,Michael Lorenzen,Jared Jones,6.505619834710744,1.7601652892561985,0.824,4.626808510638298,1.2319148936170212,0.772,0.394,0.488,-122.0,31.0,0.3,0.4,4,4,-1.878811324072446,0.051999999999999935,-0.09399999999999997,-153.0,1,0,1.0,0
825067,2026-06-21,Arizona Diamondbacks,Minnesota Twins,Jose Cabrera,Mike Paredes,4.773728813559321,1.3838135593220338,0.855,4.523432137285492,1.3691575663026523,0.741,0.523,0.492,4.0,-41.0,0.4,0.4,4,4,-0.25029667627382945,0.11399999999999999,0.031000000000000028,45.0,1,0,2.0,0
824987,2026-06-21,Athletics,Los Angeles Angels,Jack Perkins,Reid Detmers,6.266689834926151,1.4330842745438748,0.829,3.870173410404624,1.1016184971098266,0.743,0.386,0.394,-181.0,-85.0,0.5,0.4,4,4,-2.396516424521527,0.08599999999999997,-0.008000000000000007,-96.0,1,0,1.0,0
823934,2026-06-21,Los Angeles Dodgers,Baltimore Orioles,Emmet Sheehan,Brandon Young,5.052589928057554,1.2923980815347722,0.844,3.6789673913043486,1.3398097826086959,0.857,0.602,0.48,145.0,-31.0,0.4,0.7,4,4,-1.3736225367532051,-0.013000000000000012,0.122,176.0,1,0,1.0,0
